N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
1,CEvent,CEvent,,0x85AB38,,none,0x40,
2,    CEventBuildingCollision,CEventBuildingCollision,CEvent,0x85ACE8,,0x06,0x40,
3,    CEventRevived,CEventRevived,CEvent,0x85B030,,0x12,0x40,
4,    CEventDontJoinPlayerGroup,CEventDontJoinPlayerGroup,CEvent,0x86D0E0,,0x5E,0x40,
5,    CEventInteriorUseInfo,CEventInteriorUseInfo,CEvent,0x8701A8,,0x51,0x40,
6,    CEventVehicleCollision,CEventVehicleCollision,CEvent,0x85AC28,,0x01,0x40,
7,    CEventSexyVehicle,CEventSexyVehicle,CEvent,0x85B0F8,,0x15,0x40,
8,    CEventEditableResponse,CEventEditableResponse,CEvent,0x85AB80,,none,0x44,
9,        CEventPotentialWalkIntoFire,CEventPotentialWalkIntoFire,CEventEditableResponse,0x85B6A0,,0x2E,0x44,
10,        CEventVehicleOnFire,CEventVehicleOnFire,CEventEditableResponse,0x85B440,,0x4F,0x44,
11,        CEventLeaderEnteredCarAsDriver,CEventLeaderEnteredCarAsDriver,CEventEditableResponse,0x85A198,,0x36,0x44,
12,        CEventPotentialWalkIntoObject,CEventPotentialWalkIntoObject,CEventEditableResponse,0x85AF18,,0x2C,0x44,
13,        CEventDanger,CEventDanger,CEventEditableResponse,0x85B848,,0x4B,0x44,
14,        CEventPedEnteredMyVehicle,CEventPedEnteredMyVehicle,CEventEditableResponse,0x85AFE8,,0x11,0x44,
15,        CEventDeadPed,CEventDeadPed,CEventEditableResponse,0x85AE00,,0x0B,0x44,
16,        CEventAcquaintancePed,CEventAcquaintancePed,CEventEditableResponse,0x85B250,,none,0x44,
17,            CEventAcquaintancePedDislike,CEventAcquaintancePedDislike,CEventAcquaintancePed,0x86CAC8,,0x25,0x44,
18,            CEventAcquaintancePedHate,CEventAcquaintancePedHate,CEventAcquaintancePed,0x858E68,,0x24,0x44,
19,            CEventAcquaintancePedHateBadlyLit,CEventAcquaintancePedHateBadlyLit,CEventAcquaintancePed,0x86CB10,,0x3F,0x44,
20,            CEventAcquaintancePedRespect,CEventAcquaintancePedRespect,CEventAcquaintancePed,0x86CA38,,0x27,0x44,
21,            CEventAcquaintancePedLike,CEventAcquaintancePedLike,CEventAcquaintancePed,0x86CA80,,0x26,0x44,
22,            CEventSeenCop,CEventSeenCop,CEventAcquaintancePed,0x86CB58,,0x48,0x44,
23,        CEventDraggedOutCar,CEventDraggedOutCar,CEventEditableResponse,0x85AD30,,0x07,0x44,
24,        CEventSeenPanickedPed,CEventSeenPanickedPed,CEventEditableResponse,0x85B778,,0x41,0x44,
25,        CEventHealthReallyLow,CEventHealthReallyLow,CEventEditableResponse,0x86CBE8,,0x34,0x44,
26,        CEventVehicleDamage,CEventVehicleDamage,CEventEditableResponse,0x85B588,,none,0x44,
27,            CEventVehicleDamageCollision,CEventVehicleDamageCollision,CEventVehicleDamage,0x8710D0,,0x49,0x44,
28,            CEventVehicleDamageWeapon,CEventVehicleDamageWeapon,CEventVehicleDamage,0x86D640,,0x29,0x44,
29,        CEventVehicleThreat,CEventVehicleThreat,CEventEditableResponse,0x85B298,,0x1E,0x44,
