N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
1,CTask,CTask,,0x86D48C,0x8,none,0x1C,_ZN5CTaskC2Ev
2,    CTaskSimple,CTaskSimple,CTask,0x86D4A8,0x8,none,0x24,_ZN11CTaskSimpleC2Ev
3,        CTaskSimpleAnim,CTaskSimpleAnim,CTaskSimple,0x86D504,0x10,none,0x24,_ZN15CTaskSimpleAnimC2Eb
4,            CTaskSimpleRunAnim,CTaskSimpleRunAnim,CTaskSimpleAnim,0x86D528,0x20,custom,0x24,
5,                CTaskSimpleHitFromBack,CTaskSimpleHitFromBack,CTaskSimpleRunAnim,0x86DB70,0x20,0x193,0x28,
6,                CTaskSimpleHitFromLeft,CTaskSimpleHitFromLeft,CTaskSimpleRunAnim,0x86DBA4,0x20,0x195,0x28,
7,                CTaskSimpleHitFromRight,CTaskSimpleHitFromRight,CTaskSimpleRunAnim,0x86DBD8,0x20,0x196,0x28,
8,                CTaskSimpleHitByGunFromFront,CTaskSimpleHitByGunFromFront,CTaskSimpleRunAnim,0x86DC10,0x20,0x198,0x28,
9,                CTaskSimpleHitByGunFromRear,CTaskSimpleHitByGunFromRear,CTaskSimpleRunAnim,0x86DC4C,0x20,0x197,0x28,
10,                CTaskSimpleHitByGunFromLeft,CTaskSimpleHitByGunFromLeft,CTaskSimpleRunAnim,0x86DC88,0x20,0x199,0x28,
11,                CTaskSimpleHitByGunFromRight,CTaskSimpleHitByGunFromRight,CTaskSimpleRunAnim,0x86DCC4,0x20,0x19A,0x28,
12,                CTaskSimpleHitFromFront,CTaskSimpleHitFromFront,CTaskSimpleRunAnim,0x86E5EC,0x20,0x194,0x28,
13,                CTaskSimpleHitFromBehind,CTaskSimpleHitFromBehind,CTaskSimpleRunAnim,0x86F168,0x20,0x19E,0x28,
14,                CTaskSimpleHitWall,CTaskSimpleHitWall,CTaskSimpleRunAnim,0x86F1A0,0x20,0x19B,0x28,
15,                CTaskSimpleAbseil,CTaskSimpleAbseil,CTaskSimpleRunAnim,0x86F45C,0x20,0x1A7,0x28,
16,                CTaskSimpleCower,CTaskSimpleCower,CTaskSimpleRunAnim,0x85A0D0,0x20,0x19C,0x28,
17,                CTaskSimpleScratchHead,CTaskSimpleScratchHead,CTaskSimpleRunAnim,0x85A100,0x20,custom,0x28,
18,                CTaskSimpleUseAtm,CTaskSimpleUseAtm,CTaskSimpleRunAnim,0x85A134,0x20,custom,0x28,
19,            CTaskSimpleRunNamedAnim,CTaskSimpleRunNamedAnim,CTaskSimpleAnim,0x86D54C,0x64,0x191,0x24,_ZN23CTaskSimpleRunNamedAnimC2EPKcS1_ifibbbb
20,                CTaskSimpleSlideToCoord,CTaskSimpleSlideToCoord,CTaskSimpleRunNamedAnim,0x86FFEC,0x80,0x3A6,0x24,
21,            CTaskSimpleRunTimedAnim,CTaskSimpleRunTimedAnim,CTaskSimpleAnim,0x86D570,0x34,custom,0x24,
22,                CTaskSimpleChat,CTaskSimpleChat,CTaskSimpleRunTimedAnim,0x86C78C,0x34,custom,0x28,
23,                CTaskSimpleHandsUp,CTaskSimpleHandsUp,CTaskSimpleRunTimedAnim,0x85A29C,0x34,custom,0x28,
24,                CTaskSimpleLookAbout,CTaskSimpleLookAbout,CTaskSimpleRunTimedAnim,0x85A164,0x20,custom,0x28,
25,            CTaskSimpleRunAnimLoopedMiddle,CTaskSimpleRunAnimLoopedMiddle,CTaskSimpleAnim,0x86D594,0x70,0x1A8,0x24,
26,            CTaskSimplePlayHandSignalAnim,CTaskSimplePlayHandSignalAnim,CTaskSimpleAnim,0x86D5B8,0x24,0x1A9,0x24,_ZN29CTaskSimplePlayHandSignalAnimC2E11AnimationIdfhb
27,        CTaskSimpleSay,CTaskSimpleSay,CTaskSimple,0x85A1DC,0x38,0x12D,0x24,_ZN14CTaskSimpleSayC2Eii
28,        CTaskSimpleFight,CTaskSimpleFight,CTaskSimple,0x86D684,0x28,0x3F8,0x24,_ZN16CTaskSimpleFightC2EP7CEntityij
29,        CTaskSimpleFightingControl,CTaskSimpleFightingControl,CTaskSimple,0x86D700,0x24,0x3FB,0x24,_ZN26CTaskSimpleFightingControlC2EP7CEntityff
30,        CTaskSimpleUseGun,CTaskSimpleUseGun,CTaskSimple,0x86D724,0x3C,0x3F9,0x24,_ZN17CTaskSimpleUseGunC2EP7CEntity7CVectorash
31,        CTaskSimpleGunControl,CTaskSimpleGunControl,CTaskSimple,0x86D76C,0x3C,0x3FC,0x24,_ZN21CTaskSimpleGunControlC2EP7CEntityPK7CVectorS4_asi
